Time,Frequency,Amplitude
2024-01-04 19:08:06.702518,"325019000
","-84.148399353
"
2024-01-04 19:08:06.716001,"325548000
","-86.6644821167
"
2024-01-04 19:08:06.731959,"326567000
","-86.0056228638
"
2024-01-04 19:08:06.745921,"324020000
","-85.5901107788
"
2024-01-04 19:08:06.761884,"327357000
","-86.2348861694
"
2024-01-04 19:08:06.777868,"325908000
","-85.7370758057
"
2024-01-04 19:08:06.793826,"324500000
","-85.1997070312
"
2024-01-04 19:08:06.809785,"326198000
","-85.2228088379
"
2024-01-04 19:08:06.826258,"327447000
","-86.2365722656
"
2024-01-04 19:08:06.841218,"321592000
","-84.5108566284
"
2024-01-04 19:08:06.858229,"320713000
","-85.4000015259
"
2024-01-04 19:08:06.873234,"322631000
","-86.7323532104
"
2024-01-04 19:08:06.889193,"321453000
","-84.2960891724
"
2024-01-04 19:08:06.904163,"319534000
","-86.2267684937
"
2024-01-04 19:08:06.921223,"326318000
","-86.2010040283
"
2024-01-04 19:08:06.937175,"320823000
","-85.8693466187
"
2024-01-04 19:08:06.951138,"322541000
","-85.4610595703
"
2024-01-04 19:08:06.967146,"321033000
","-84.7333450317
"
2024-01-04 19:08:06.983147,"325668000
","-85.9073257446
"
2024-01-04 19:08:07.000106,"320254000
","-84.1131134033
"
2024-01-04 19:08:07.016157,"325199000
","-85.3198165894
"
2024-01-04 19:08:07.032114,"324549000
","-85.5353393555
"
2024-01-04 19:08:07.047074,"324739000
","-86.6256484985
"
2024-01-04 19:08:07.065027,"326737000
","-85.7451477051
"
2024-01-04 19:08:07.076994,"323940000
","-86.2710800171
"
2024-01-04 19:08:07.091954,"325938000
","-85.1376876831
"
2024-01-04 19:08:07.107920,"319934000
","-85.1897125244
"
2024-01-04 19:08:07.122406,"326587000
","-86.5040359497
"
2024-01-04 19:08:07.137368,"319584000
","-85.8622055054
"
2024-01-04 19:08:07.154321,"319205000
","-82.6747817993
"
2024-01-04 19:08:07.169281,"324909000
","-85.8737869263
"
2024-01-04 19:08:07.184241,"321942000
","-85.0237197876
"
2024-01-04 19:08:07.200207,"328166000
","-87.6003723145
"
2024-01-04 19:08:07.214685,"319135000
","-86.119430542
"
2024-01-04 19:08:07.231644,"319335000
","-86.2620391846
"
2024-01-04 19:08:07.246600,"325349000
","-86.0060882568
"
2024-01-04 19:08:07.261560,"324689000
","-86.1644744873
"
2024-01-04 19:08:07.276520,"321542000
","-86.8063430786
"
2024-01-04 19:08:07.293474,"321343000
","-84.7372589111
"
2024-01-04 19:08:07.308443,"319475000
","-86.4544448853
"
2024-01-04 19:08:07.323918,"319814000
","-85.5586395264
"
2024-01-04 19:08:07.341873,"321223000
","-86.1240463257
"
2024-01-04 19:08:07.355836,"320054000
","-85.2085571289
"
2024-01-04 19:08:07.372791,"326288000
","-86.3367996216
"
2024-01-04 19:08:07.388748,"321053000
","-85.5880355835
"
2024-01-04 19:08:07.403714,"327027000
","-85.1758422852
"
2024-01-04 19:08:07.419197,"323211000
","-86.161239624
"
2024-01-04 19:08:07.435155,"322881000
","-85.2256469727
"
2024-01-04 19:08:07.450115,"323560000
","-86.7812423706
"
2024-01-04 19:08:07.466071,"320214000
","-85.4594345093
"
2024-01-04 19:08:07.482028,"320783000
","-86.0577774048
"
2024-01-04 19:08:07.495992,"319664000
","-86.3541030884
"
2024-01-04 19:08:07.511954,"322841000
","-87.1711578369
"
2024-01-04 19:08:07.528429,"326547000
","-85.0274200439
"
2024-01-04 19:08:07.544386,"324290000
","-85.7094192505
"
2024-01-04 19:08:07.560343,"323690000
","-86.8822402954
"
2024-01-04 19:08:07.576300,"323960000
","-86.5278015137
"
2024-01-04 19:08:07.592269,"326547000
","-86.3397064209
"
2024-01-04 19:08:07.607227,"321942000
","-86.0558319092
"
2024-01-04 19:08:07.624695,"326158000
","-86.6757888794
"
2024-01-04 19:08:07.637662,"327786000
","-85.3442459106
"
2024-01-04 19:08:07.653619,"326847000
","-86.4657745361
"
2024-01-04 19:08:07.669576,"328016000
","-86.4730377197
"
2024-01-04 19:08:07.685621,"326687000
","-84.4355239868
"
2024-01-04 19:08:07.701584,"323191000
","-87.598815918
"
2024-01-04 19:08:07.717655,"319405000
","-84.3746795654
"
2024-01-04 19:08:07.732618,"325728000
","-85.2978286743
"
2024-01-04 19:08:07.747577,"323620000
","-85.8075637817
"
2024-01-04 19:08:07.762535,"320234000
","-87.7961883545
"
2024-01-04 19:08:07.779491,"319824000
","-86.6773452759
"
2024-01-04 19:08:07.795450,"328306000
","-85.895904541
"
2024-01-04 19:08:07.811416,"322821000
","-85.7194290161
"
2024-01-04 19:08:07.827435,"327157000
","-86.1882324219
"
2024-01-04 19:08:07.843391,"323401000
","-86.3277359009
"
2024-01-04 19:08:07.858351,"320983000
","-87.1401748657
"
2024-01-04 19:08:07.874310,"320374000
","-85.3729782104
"
2024-01-04 19:08:07.889270,"319085000
","-87.170173645
"
2024-01-04 19:08:07.904235,"319604000
","-87.3623046875
"
2024-01-04 19:08:07.919719,"328486000
","-84.4337158203
"
2024-01-04 19:08:07.935676,"320304000
","-84.4029083252
"
2024-01-04 19:08:07.951633,"319834000
","-86.7800827026
"
2024-01-04 19:08:07.967590,"325479000
","-85.558265686
"
2024-01-04 19:08:07.982549,"326587000
","-86.8488922119
"
2024-01-04 19:08:07.997509,"323720000
","-86.0968017578
"
2024-01-04 19:08:08.012479,"321313000
","-86.1317520142
"
2024-01-04 19:08:08.028956,"322172000
","-84.5698623657
"
2024-01-04 19:08:08.043913,"328815000
","-87.2958297729
"
2024-01-04 19:08:08.060869,"323121000
","-85.9980773926
"
2024-01-04 19:08:08.075827,"319524000
","-85.9451828003
"
2024-01-04 19:08:08.091785,"321952000
","-86.296875
"
2024-01-04 19:08:08.108754,"324420000
","-85.6822433472
"
2024-01-04 19:08:08.122233,"324729000
","-85.7675552368
"
